#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 01 00 18 999 99.0 99.0  0.51 12.50  6.41 288 9999.0 999.0  15.8 999.0 99.0 99.00
2016 01 01 00 48 999 99.0 99.0  0.57 13.33  6.10 289 9999.0 999.0  15.8 999.0 99.0 99.00
2016 01 01 01 18 999 99.0 99.0  0.62  9.88  6.06 281 9999.0 999.0  15.7 999.0 99.0 99.00
2016 01 01 02 18 999 99.0 99.0  0.62 11.76  5.86 287 9999.0 999.0  15.6 999.0 99.0 99.00
2016 01 01 02 48 999 99.0 99.0  0.60 12.50  5.46 288 9999.0 999.0  15.6 999.0 99.0 99.00
2016 01 01 03 18 999 99.0 99.0  0.60  6.67  5.46 278 9999.0 999.0  15.5 999.0 99.0 99.00
2016 01 01 03 48 999 99.0 99.0  0.57 11.76  5.29 282 9999.0 999.0  15.6 999.0 99.0 99.00
2016 01 01 04 18 999 99.0 99.0  0.60  9.88  5.31 282 9999.0 999.0  15.5 999.0 99.0 99.00
2016 01 01 04 48 999 99.0 99.0  0.61 13.33  5.73 288 9999.0 999.0  15.5 999.0 99.0 99.00
2016 01 01 05 18 999 99.0 99.0  0.59 11.11  5.58 287 9999.0 999.0  15.6 999.0 99.0 99.00
2016 01 01 06 18 999 99.0 99.0  0.56 12.50  6.04 288 9999.0 999.0  15.6 999.0 99.0 99.00
2016 01 01 06 48 999 99.0 99.0  0.55 11.76  6.31 287 9999.0 999.0  15.6 999.0 99.0 99.00
2016 01 01 07 18 999 99.0 99.0  0.51 12.50  6.54 285 9999.0 999.0  15.6 999.0 99.0 99.00
2016 01 01 07 48 999 99.0 99.0  0.51 11.76  6.84 285 9999.0 999.0  15.6 999.0 99.0 99.00
2016 01 01 08 18 999 99.0 99.0  0.55 12.50  7.22 289 9999.0 999.0  15.6 999.0 99.0 99.00
2016 01 01 08 48 999 99.0 99.0  0.52 11.76  7.14 287 9999.0 999.0  15.6 999.0 99.0 99.00
2016 01 01 09 18 999 99.0 99.0  0.56 11.76  7.50 285 9999.0 999.0  15.5 999.0 99.0 99.00
2016 01 01 10 18 999 99.0 99.0  0.50 11.76  7.33 287 9999.0 999.0  15.5 999.0 99.0 99.00
2016 01 01 10 48 999 99.0 99.0  0.55 11.76  7.68 288 9999.0 999.0  15.5 999.0 99.0 99.00
2016 01 01 11 18 999 99.0 99.0  0.53 12.50  7.73 289 9999.0 999.0  15.5 999.0 99.0 99.00
2016 01 01 11 48 999 99.0 99.0  0.47 11.76  7.25 287 9999.0 999.0  15.5 999.0 99.0 99.00
2016 01 01 12 18 999 99.0 99.0  0.45 11.76  7.13 287 9999.0 999.0  15.5 999.0 99.0 99.00
2016 01 01 12 48 999 99.0 99.0  0.45 11.76  7.32 285 9999.0 999.0  15.5 999.0 99.0 99.00
2016 01 01 13 18 999 99.0 99.0  0.46 11.76  7.44 288 9999.0 999.0  15.5 999.0 99.0 99.00
2016 01 01 14 18 999 99.0 99.0  0.44  9.88  7.22 287 9999.0 999.0  15.5 999.0 99.0 99.00
